name,phone,city,state,address,zip,county,call_script,sms_script,list_link
Shady Oaks Mobile Home Park,(850) 762-9656,Altha,FL,25339 Nw Walter Potts Road,32421,Calhoun,"Hi, Bradley with Tread Companies / Trailer Parks calling about Shady Oaks Mobile Home Park in Altha. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Shady Oaks Mobile Home Park (Altha). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Chisholm Trail Campground,(352) 669-5995,Altoona,FL,45626 St 19 Road,32702,Lake,"Hi, Bradley with Tread Companies / Trailer Parks calling about Chisholm Trail Campground in Altoona. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Chisholm Trail Campground (Altoona). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Lake Dorr Mobile Home & Rv,(352) 735-2071,Altoona,FL,19246 Sunfish Lane,32702,Lake,"Hi, Bradley with Tread Companies / Trailer Parks calling about Lake Dorr Mobile Home & Rv in Altoona. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Lake Dorr Mobile Home & Rv (Altoona). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Oak Park Village Co-Op,(239) 728-2109,Alva,FL,21961 Pearl Street,33920,Lee,"Hi, Bradley with Tread Companies / Trailer Parks calling about Oak Park Village Co-Op in Alva. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Oak Park Village Co-Op (Alva). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Matanzas Inlet Mhp,(904) 824-5307,Anastasia Island,FL,8825 A1A S,32080,St Johns,"Hi, Bradley with Tread Companies / Trailer Parks calling about Matanzas Inlet Mhp in Anastasia Island. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Matanzas Inlet Mhp (Anastasia Island). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Victory Mhp,(352) 401-9189,Anthony,FL,9588 Ne Jacksonville Road,32617,Marion,"Hi, Bradley with Tread Companies / Trailer Parks calling about Victory Mhp in Anthony. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Victory Mhp (Anthony). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Bayview Trailer Park,(555) 555-5555,Apalachicola,FL,515 W Hwy 98,32320,Franklin,"Hi, Bradley with Tread Companies / Trailer Parks calling about Bayview Trailer Park in Apalachicola. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Bayview Trailer Park (Apalachicola). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
May'S Trailer Park,(850) 653-8334,Apalachicola,FL,23Rd Avenue,32320,Franklin,"Hi, Bradley with Tread Companies / Trailer Parks calling about May'S Trailer Park in Apalachicola. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re May'S Trailer Park (Apalachicola). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Shuler Trailer Park,(850) 653-9226,Apalachicola,FL,23Rd Avenue,32320,Franklin,"Hi, Bradley with Tread Companies / Trailer Parks calling about Shuler Trailer Park in Apalachicola. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Shuler Trailer Park (Apalachicola). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Caribbean Isles,(813) 645-1498,Apollo Beach,FL,405 Elsberry Road,33572,Hillsborough,"Hi, Bradley with Tread Companies / Trailer Parks calling about Caribbean Isles in Apollo Beach. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Caribbean Isles (Apollo Beach). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
