name,phone,city,state,address,zip,county,call_script,sms_script,list_link
Frank'S Mobile Homes-Park,(330) 784-5888,Akron,OH,954 Canton Road,44312,Summit,"Hi, Bradley with Tread Companies / Trailer Parks calling about Frank'S Mobile Homes-Park in Akron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Frank'S Mobile Homes-Park (Akron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Lakeside Mhp,(330) 644-5362,Akron,OH,10 Linda Drive,44319,Summit,"Hi, Bradley with Tread Companies / Trailer Parks calling about Lakeside Mhp in Akron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Lakeside Mhp (Akron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Maplewood Park,(330) 628-4306,Akron,OH,3271 East Waterloo Road,44312,Summit,"Hi, Bradley with Tread Companies / Trailer Parks calling about Maplewood Park in Akron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Maplewood Park (Akron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Mayfield Mhp,(330) 896-1575,Akron,OH,1909 East Turkeyfoot Lake Road #32,44312,Summit,"Hi, Bradley with Tread Companies / Trailer Parks calling about Mayfield Mhp in Akron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Mayfield Mhp (Akron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Willow Mobile Homes,(330) 628-9118,Akron,OH,146 Wilpark Drive,44312,Summit,"Hi, Bradley with Tread Companies / Trailer Parks calling about Willow Mobile Homes in Akron. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Willow Mobile Homes (Akron). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Apple Creek Mfg. Home Comm.,(866) 786-0112,Amelia,OH,2191 State Route 125,45102,Clermont,"Hi, Bradley with Tread Companies / Trailer Parks calling about Apple Creek Mfg. Home Comm. in Amelia. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Apple Creek Mfg. Home Comm. (Amelia). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Eastgate Mhp,(513) 797-5637,Amelia,OH,1753 East Ohio Pike,45102,Clermont,"Hi, Bradley with Tread Companies / Trailer Parks calling about Eastgate Mhp in Amelia. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Eastgate Mhp (Amelia). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Forest Creek Mhp,(513) 734-4845,Amelia,OH,118 Shady Lane,45102,Clermont,"Hi, Bradley with Tread Companies / Trailer Parks calling about Forest Creek Mhp in Amelia. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Forest Creek Mhp (Amelia). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Holly Towne Mhp,(513) 797-5024,Amelia,OH,2061 East Ohio Pike #35,45102,Clermont,"Hi, Bradley with Tread Companies / Trailer Parks calling about Holly Towne Mhp in Amelia. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Holly Towne Mhp (Amelia). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Tall Timbers,(513) 797-4068,Amelia,OH,2780 Lindale Mount Holly Road,45102,Clermont,"Hi, Bradley with Tread Companies / Trailer Parks calling about Tall Timbers in Amelia. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Tall Timbers (Amelia). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Amherst Village Mhp,(440) 985-9900,Amherst,OH,122 1/2 Tropicana Avenue,44001,Lorain,"Hi, Bradley with Tread Companies / Trailer Parks calling about Amherst Village Mhp in Amherst. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Amherst Village Mhp (Amherst). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Amhurst Village Mhp,(440) 988-2023,Amherst,OH,6123 North Dewey Road #5,44001,Lorain,"Hi, Bradley with Tread Companies / Trailer Parks calling about Amhurst Village Mhp in Amherst. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Amhurst Village Mhp (Amherst). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Westwoods Mhp,(440) 988-4033,Amherst,OH,7055 Quarry Road,44001,Lorain,"Hi, Bradley with Tread Companies / Trailer Parks calling about Westwoods Mhp in Amherst. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Westwoods Mhp (Amherst). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Country Side Mobile Homes Park,(614) 876-5077,Amlin,OH,4977 Avery Road,43002,Franklin,"Hi, Bradley with Tread Companies / Trailer Parks calling about Country Side Mobile Homes Park in Amlin. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Country Side Mobile Homes Park (Amlin). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
