name,phone,city,state,address,zip,county,call_script,sms_script,list_link
Shady Oaks Trailer Park,(704) 982-1066,Albemarle,NC,2302 East Main Street,28001,Stanly,"Hi, Bradley with Tread Companies / Trailer Parks calling about Shady Oaks Trailer Park in Albemarle. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Shady Oaks Trailer Park (Albemarle). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Broadway Villa,(704) 321-3277,Andrews,NC,Kent Street,28901,Cherokee,"Hi, Bradley with Tread Companies / Trailer Parks calling about Broadway Villa in Andrews. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Broadway Villa (Andrews). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Country Estates Mobile Home,(919) 362-7116,Apex,NC,193 John Horton Road,27502,Chatham,"Hi, Bradley with Tread Companies / Trailer Parks calling about Country Estates Mobile Home in Apex. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Country Estates Mobile Home (Apex). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Shangri-La Mobile Park,(919) 362-7872,Apex,NC,812 Mockingbird Lane,27502,Wake,"Hi, Bradley with Tread Companies / Trailer Parks calling about Shangri-La Mobile Park in Apex. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Shangri-La Mobile Park (Apex). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Wellington Park,(704) 684-8558,Arden,NC,42 Airport Road,28704,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Wellington Park in Arden. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Wellington Park (Arden). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Chilton'S Mhp,(336) 879-3593,Asheboro,NC,2538 Grantville Lane,27203,Randolph,"Hi, Bradley with Tread Companies / Trailer Parks calling about Chilton'S Mhp in Asheboro. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Chilton'S Mhp (Asheboro). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Scenic Oaks Mhp,(336) 879-2953,Asheboro,NC,1802 Grantville Lane,27203,Randolph,"Hi, Bradley with Tread Companies / Trailer Parks calling about Scenic Oaks Mhp in Asheboro. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Scenic Oaks Mhp (Asheboro). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Altamont Mobile Home Court,(704) 252-6962,Asheville,NC,678 North Louisiana Avenue,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Altamont Mobile Home Court in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Altamont Mobile Home Court (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Blue Ridge Estates,(828) 545-0677,Asheville,NC,431 Emma Rd,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Blue Ridge Estates in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Blue Ridge Estates (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Camelot Mhp,(828) 667-1260,Asheville,NC,1442 Brevard Rd,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Camelot Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Camelot Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Clairmont Crest,(704) 252-6561,Asheville,NC,710 Sand Hill Road,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Clairmont Crest in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Clairmont Crest (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Johnson Siler Mhp,(704) 274-2737,Asheville,NC,26 Rock Hill Place,28803,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Johnson Siler Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Johnson Siler Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Mosswood Mhp,(704) 252-0755,Asheville,NC,599 North Louisiana Avenue,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Mosswood Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Mosswood Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
North View Mhp,(704) 253-0164,Asheville,NC,329 Emma Road,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about North View Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re North View Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Pine Valley Mhp,(704) 274-0769,Asheville,NC,1075 Sweeten Creek Road,28803,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Pine Valley Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Pine Valley Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Riverview Mhp,(704) 254-9600,Asheville,NC,63 Bingham Road #83,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Riverview Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Riverview Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Scenic Mhp,(704) 298-3822,Asheville,NC,1314 Tunnel Road,28805,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Scenic Mhp in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Scenic Mhp (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
Town & Country Mobile Home,(704) 254-1076,Asheville,NC,210 Johnston School Road,28806,Buncombe,"Hi, Bradley with Tread Companies / Trailer Parks calling about Town & Country Mobile Home in Asheville. Free marketplace for park owners — $0 listing fee, $0 success fee. Brokers take ~6%. We've operated 4,000+ spaces. Can I text the link?",Bradley @ Tread Companies / Trailer Parks re Town & Country Mobile Home (Asheville). Free owner marketplace — $0 fees. List in 2 min: https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach,https://temporary-zippy-celesta-4cyc4ht.vercel.app/list-your-park?ref=bradley-outreach
