name,address,city,state,zip,phone,county,website,size,units,source
Shady Oaks Mobile Home Park,25339 Nw Walter Potts Road,Altha,FL,32421,(850) 762-9656,Calhoun,,SMALL (<50),10,HIFLD Open Data
Chisholm Trail Campground,45626 St 19 Road,Altoona,FL,32702,(352) 669-5995,Lake,,SMALL (<50),,HIFLD Open Data
Lake Dorr Mobile Home & Rv,19246 Sunfish Lane,Altoona,FL,32702,(352) 735-2071,Lake,,SMALL (<50),25,HIFLD Open Data
Oak Park Village Co-Op,21961 Pearl Street,Alva,FL,33920,(239) 728-2109,Lee,,LARGE (>100),199,HIFLD Open Data
Matanzas Inlet Mhp,8825 A1A S,Anastasia Island,FL,32080,(904) 824-5307,St Johns,,SMALL (<50),12,HIFLD Open Data
Victory Mhp,9588 Ne Jacksonville Road,Anthony,FL,32617,(352) 401-9189,Marion,,MEDIUM (51-100),100,HIFLD Open Data
Bayview Trailer Park,515 W Hwy 98,Apalachicola,FL,32320,(555) 555-5555,Franklin,,SMALL (<50),25,HIFLD Open Data
May'S Trailer Park,23Rd Avenue,Apalachicola,FL,32320,(850) 653-8334,Franklin,,SMALL (<50),10,HIFLD Open Data
Shuler Trailer Park,23Rd Avenue,Apalachicola,FL,32320,(850) 653-9226,Franklin,,SMALL (<50),8,HIFLD Open Data
Caribbean Isles,405 Elsberry Road,Apollo Beach,FL,33572,(813) 645-1498,Hillsborough,,LARGE (>100),540,HIFLD Open Data
Brightwood Manor Llc,838 Kelly Park Road,Apopka,FL,32712,(407) 886-4747,Orange,,LARGE (>100),231,HIFLD Open Data
Chalet North Mhp,1800 Alpine Drive,Apopka,FL,32703,(407) 886-2491,Orange,,LARGE (>100),404,HIFLD Open Data
Fishermans Paradise,3310 Fernandez Lane,Apopka,FL,32703,(407) 886-3734,Orange,,SMALL (<50),,HIFLD Open Data
Harrison Trailer Park,3414 Walker Road,Apopka,FL,32703,(407) 889-2437,Orange,,SMALL (<50),35,HIFLD Open Data
Nhc Fl 207 Llc Dba The Hills Mhp,1100 S Roger Williams Road,Apopka,FL,32703,(407) 886-8787,Orange,,MEDIUM (51-100),100,HIFLD Open Data
Nhc-Fl 206 Llc Dba The Valley Mhp,5100 Round Lake Road,Apopka,FL,32712,(407) 880-1212,Orange,,LARGE (>100),150,HIFLD Open Data
Oak Tree Park,4805 Plymouth Sorrento Road,Apopka,FL,32712,(407) 884-1888,Orange,,SMALL (<50),12,HIFLD Open Data
Overland Village Llc,3303 Overland Road,Apopka,FL,32703,(407) 616-7757,Orange,,SMALL (<50),36,HIFLD Open Data
Palm Isles Mobile Home Village,1560 Curless Avenue,Apopka,FL,32712,(407) 886-6511,Orange,,LARGE (>100),120,HIFLD Open Data
Rock Springs Mhp,39 Tanglewood Drive,Apopka,FL,32712,(407) 886-6511,Orange,,LARGE (>100),555,HIFLD Open Data
Tropicana Mobile Home Park,1353 Tropicana Circle,Apopka,FL,32703,(407) 345-1027,Orange,,SMALL (<50),,HIFLD Open Data
Valencia Estates Mhp,547 Drage Drive,Apopka,FL,32703,(407) 886-5776,Orange,,LARGE (>100),122,HIFLD Open Data
Victoria Gardens,1117 S Christiana Avenue,Apopka,FL,32703,(407) 570-2990,Orange,,SMALL (<50),14,HIFLD Open Data
Arcadia Village Mobile Home Park,2692 Ne Highway 70,Arcadia,FL,34266,(863) 494-5669,Desoto,,LARGE (>100),594,HIFLD Open Data
Big Tree Rv Park,2626 Ne Hwy 70,Arcadia,FL,34266,(941) 494-7247,Desoto,,LARGE (>100),1,HIFLD Open Data
Crenshaw Park,11089 Crenshaw Drive,Arcadia,FL,34266,(941) 302-1707,Desoto,,SMALL (<50),6,HIFLD Open Data
Desoto Village Mobile Home Park,4810 Nw State 72 Road,Arcadia,FL,34266,(863) 494-2900,Desoto,,LARGE (>100),146,HIFLD Open Data
Green Acres,2413 Nw Gene'S Little Acres Road,Arcadia,FL,34266,(863) 494-7676,Desoto,,SMALL (<50),8,HIFLD Open Data
Lamb Park Rentals Llc,1024 Baker Street,Arcadia,FL,34266,(941) 627-6788,Desoto,,SMALL (<50),12,HIFLD Open Data
Lettuce Lake Mobile Home Park Llc,10586 Sw Park Avenue,Arcadia,FL,34269,(863) 990-3234,Desoto,,SMALL (<50),6,HIFLD Open Data
Little Gator Park,1230 Sw Skates Street,Arcadia,FL,34266,(863) 993-1543,Desoto,,SMALL (<50),,HIFLD Open Data
Mi-An-Da Mobile Home Park,3895 Se Cr 760A,Arcadia,FL,34266,(941) 744-0604,Desoto,,SMALL (<50),10,HIFLD Open Data
Muscadine Trailer Park,11278 Sw Crenshaw Avenue,Arcadia,FL,34266,(941) 204-7039,Desoto,,SMALL (<50),8,HIFLD Open Data
Oakview Mobile Home Estates,2552 Ne Turner Avenue,Arcadia,FL,34266,(480) 423-5700,Desoto,,LARGE (>100),123,HIFLD Open Data
Hide A Way Harbor,48 Harbor Circle,Astatula,FL,34705,(352) 742-1885,Lake,,SMALL (<50),35,HIFLD Open Data
A & B Mobile Villa,1905 Alice Drive,Astor,FL,32102,(386) 749-2084,Volusia,,SMALL (<50),12,HIFLD Open Data
Blair'S Jungle Den,1820 Jungle Den Road,Astor,FL,32102,(386) 749-2264,Volusia,,MEDIUM (51-100),,HIFLD Open Data
St John'S River Campground,1520 W Sr 40,Astor,FL,32102,(386) 749-3995,Volusia,,SMALL (<50),5,HIFLD Open Data
The Castaways On The River,25129 Blackwater Lane,Astor,FL,32102,(352) 759-2294,Volusia,,SMALL (<50),13,HIFLD Open Data
Admirals Walk Mobile Home Park Llc,2268 Mayport Road,Atlantic Beach,FL,32233,(904) 242-9404,Duval,,LARGE (>100),172,HIFLD Open Data
Oaks Of Atlantic Beach,1020 Sistrunk Street,Atlantic Beach,FL,32233,(904) 246-7684,Duval,,LARGE (>100),253,HIFLD Open Data
Pioneer Mobile Home Park,2818 Oleander Road,Atlantic Beach,FL,32233,(904) 401-9645,Duval,,SMALL (<50),,HIFLD Open Data
Singleton Mobile Home Park,120 Mayport Road,Atlantic Beach,FL,32233,(904) 737-1245,Duval,,MEDIUM (51-100),52,HIFLD Open Data
21 Palms On Lake Juliana Inc.,584 State 559 Road,Auburndale,FL,33823,(863) 984-1843,Polk,,SMALL (<50),35,HIFLD Open Data
A & B Rv & Mhp,1070 M Highway 92 West,Auburndale,FL,33823,(863) 665-1115,Polk,,SMALL (<50),10,HIFLD Open Data
Ariana Shores Mobile Home Park,116A Paradise Lane,Auburndale,FL,33823,(863) 965-4574,Polk,,LARGE (>100),128,HIFLD Open Data
Auburndale Parks Inc,802 West Bridgers Avenue,Auburndale,FL,33823,(863) 968-9313,Polk,,SMALL (<50),9,HIFLD Open Data
